search_category,media_type,id,title,original_language,genres,release_date,popularity,vote_average,vote_count,origin_country,overview,release_year,is_recent
popular,movie,969681,Spider-Man: Brand New Day,en,"Science Fiction, Action, Adventure",2026-07-29,1657.2333,7.9,2098,,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,2026.0,True
popular,movie,1368337,The Odyssey,en,"Adventure, Action, Fantasy",2026-07-15,672.5442,7.999,3122,,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",2026.0,True
popular,movie,1288445,Mutiny,en,"Action, Thriller",2026-08-19,532.9923,6.6,125,,"After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy.",2026.0,True
popular,movie,1084244,Toy Story 5,en,"Animation, Family, Comedy, Adventure",2026-06-17,387.5602,8.184,1527,,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",2026.0,True
popular,movie,1323244,Rage of Stars,en,"Action, Science Fiction, Thriller",2026-08-06,388.5213,4.636,33,,"A story about a woman from the International Special Forces Unit, who has a premonition about the impending end of humanity.",2026.0,True
popular,movie,634649,Spider-Man: No Way Home,en,"Action, Adventure, Science Fiction",2021-12-15,252.1788,7.941,22816,,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2021.0,False
popular,movie,1375646,Colony,ko,"Action, Horror, Science Fiction",2026-05-21,220.8453,8.115,588,,"Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.",2026.0,True
popular,movie,1339713,Obsession,en,"Horror, Thriller",2026-05-13,284.2699,8.22,4987,,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",2026.0,True
popular,movie,1315772,Minions & Monsters,en,"Adventure, Animation, Comedy, Family, Fantasy",2026-06-24,231.8791,7.519,826,,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",2026.0,True
popular,movie,1108427,Moana,en,"Family, Fantasy, Comedy, Adventure",2026-07-08,250.1106,6.113,222,,"Teenage Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with infamous demigod Maui on an unforgettable journey to restore prosperity to her people.",2026.0,True
popular,movie,1284465,The Death of Robin Hood,en,"Adventure, Drama, Action",2026-06-18,172.0553,6.288,243,,"Grappling with his past after a life of crime and murder, Robin Hood finds himself gravely injured after a battle he thought would be his last. In the hands of a mysterious woman, he is offered a chance at salvation.",2026.0,True
popular,movie,1284041,The Last House,en,"Horror, Science Fiction, Thriller",2026-08-06,158.1143,6.894,1003,,A family suddenly sealed inside their home must work together to survive against dwindling resources and the ominous threat keeping them trapped.,2026.0,True
popular,movie,82023,Hotel Desire,de,"Drama, Romance",2011-12-07,185.9993,6.174,158,,"Antonia is a single mother who works as a hotel maid in Berlin. A normal hot summer day takes a dramatic turn when she crosses paths with a particular guest of the hotel, famous blind portrait painter Julius Pass.",2011.0,False
